Incident Number,Province,Incident type,Incident Types,Emergency Level,Reported Date,Discovered Date and Time,Regulation,Status,Company,Latitude,Longitude,Facility Name,Pipeline or Facility Type,Pipeline Name,Pipeline length (km),Pipeline/Equipment Involved?,Equipment Inspected?,No maintenance done on this equipment or component,Substance,Rupture,Released substance type,Release Type,Released volume (m3),Substance carried,Why it Happened,Significant,Activity being performed at time of incident,Workdays lost,Number of fatalities,Number of individuals injured,Number of people evacuated
INC2010-172,Alberta,Operation Beyond Design Limits,Operation Beyond Design Limits,Level I,11/11/2010,11/11/2010 12:00,OPR,Closed,Enbridge Pipelines Inc.,53.547403,-113.355714,,,Line 4,1248.91,Yes,No,No,Not Applicable,No,,Not Applicable,,Crude Oil,Human Factors,No,Operation,,,,0
INC2010-171,Alberta,Operation Beyond Design Limits,Operation Beyond Design Limits,Level I,11/11/2010,11/11/2010 12:00,OPR,Closed,Enbridge Pipelines Inc.,53.547403,-113.355714,,,Line 4,1248.91,Yes,No,No,Not Applicable,No,,Not Applicable,,Crude Oil,Human Factors,No,Operation,,,,0
INC2010-170,Alberta,Operation Beyond Design Limits,Operation Beyond Design Limits,Level I,11/11/2010,11/11/2010 12:00,OPR,Closed,Enbridge Pipelines Inc.,53.547403,-113.355714,,,Line 4,1248.91,Yes,No,No,Not Applicable,No,,Not Applicable,,Crude Oil,Human Factors,No,Operation,,,,0
INC2010-169,Alberta,Operation Beyond Design Limits,Operation Beyond Design Limits,Level I,11/11/2010,11/11/2010 12:00,OPR,Closed,Enbridge Pipelines Inc.,53.547403,-113.355714,,,Line 4,1248.91,Yes,No,No,Not Applicable,No,,Not Applicable,,Crude Oil,Human Factors,No,Operation,,,,0
INC2010-168,Alberta,Operation Beyond Design Limits,Operation Beyond Design Limits,Level I,11/11/2010,11/11/2010 12:00,OPR,Closed,Enbridge Pipelines Inc.,53.547403,-113.355714,,,Line 4,1248.91,Yes,No,No,Not Applicable,No,,Not Applicable,,Crude Oil,Human Factors,No,Operation,,,,0
INC2010-167,Alberta,Operation Beyond Design Limits,Operation Beyond Design Limits,Level I,11/11/2010,11/11/2010 12:00,OPR,Closed,Enbridge Pipelines Inc.,53.547403,-113.355714,,,Line 4,1248.91,Yes,No,No,Not Applicable,No,,Not Applicable,,Crude Oil,Human Factors,No,Operation,,,,0
INC2010-165,British Columbia,Serious Injury (CER or TSB),Serious Injury (CER or TSB),Level I,12/30/2010,12/29/2010 5:00,PPR,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",56.14652,-120.66907,,,Wei - Mcmahon Gas Plant (Taylor Gas Plant),,No,No,No,Not Applicable,No,,Not Applicable,,,To be determined,Yes,Maintenance,,,1,0
INC2010-164,Alberta,Release of Substance,Release of Substance,Level I,12/22/2010,12/21/2010 4:00,OPR,Closed,NOVA Gas Transmission Ltd.,54.65256,-114.52778,,,"",,Yes,No,No,Natural Gas - Sweet,No,Natural Gas - Sweet,Gas,0,,Maintenance,No,Operation,,,,0
INC2010-159,Alberta,Release of Substance,Release of Substance,Level I,12/17/2010,12/16/2010 4:30,OPR,Closed,NOVA Gas Transmission Ltd.,54.50731,-116.44281,,,Raspberry Lake Ms,,Yes,No,No,Natural Gas - Sweet,No,Natural Gas - Sweet,Gas,,,Maintenance,No,Operation,,,,0
INC2010-158,Alberta,Fire,Fire,Level I,12/17/2010,12/16/2010 1:00,OPR,Closed,TransCanada Keystone Pipeline GP Ltd.,52.65486,-111.26462,,,Tcp Keystone - Hardisty Terminal,,No,No,No,Not Applicable,No,,Not Applicable,,,Engineering and Planning,No,Operation,,,,0
INC2010-157,Nova Scotia,Release of Substance,Release of Substance,Level I,12/15/2010,12/15/2010 4:00,OPR,Closed,Maritimes & Northeast Pipeline Management Ltd.,44.663897,-63.568182,,,Tuffs Cove Ms,,Yes,No,No,Natural Gas - Sweet,No,Natural Gas - Sweet,Gas,1,,Maintenance,No,Operation,,,,0
